Evaluation Results
==================


NDCG@5 Results:
Mean: 0.2817
Per-query results:
  Query 100653: 0.2567
  Query 1015624: 0.4216
  Query 1017690: 0.8498
  Query 1035857: 0.4193
  Query 103830: 0.1696
  Query 1063812: 0.1504
  Query 1077370: 0.7655
  Query 1082595: 0.5719
  Query 1119420: 0.2544
  Query 1152934: 0.2533
  Query 1167882: 0.1450
  Query 1199639: 0.3008
  Query 1254390: 0.0000
  Query 1262692: 0.2782
  Query 1282199: 0.2553
  Query 1287437: 0.2516
  Query 1290612: 0.4132
  Query 1292734: 0.0000
  Query 1340574: 0.2501
  Query 1351675: 0.5314
  Query 1364894: 0.0000
  Query 1373069: 0.1693
  Query 143833: 0.3166
  Query 1459749: 0.1461
  Query 1477322: 0.1875
  Query 1502604: 0.7100
  Query 1509982: 0.2661
  Query 1582877: 0.2989
  Query 159716: 0.1807
  Query 1607728: 0.3055
  Query 1623623: 0.3237
  Query 1663853: 0.4775
  Query 1702151: 0.1450
  Query 172731: 0.0000
  Query 1783010: 1.0000
  Query 1794677: 0.6435
  Query 1821193: 0.0554
  Query 1844896: 0.2761
  Query 1850323: 0.0000
  Query 1862795: 0.2934
  Query 1866981: 0.0000
  Query 1880028: 0.0731
  Query 1937374: 0.2630
  Query 1944018: 0.0000
  Query 1957887: 0.3461
  Query 1964316: 0.3862
  Query 1968489: 0.3677
  Query 1971899: 0.3801
  Query 1977054: 0.2457
  Query 2008017: 0.1753
  Query 2018562: 0.1334
  Query 204633: 0.0822
  Query 204963: 0.2796
  Query 2142044: 0.6840
  Query 2180086: 1.0000
  Query 2182052: 0.1123
  Query 2192891: 0.3547
  Query 224109: 0.0000
  Query 225575: 0.4997
  Query 2290758: 0.4466
  Query 2291272: 0.1504
  Query 229303: 0.4623
  Query 2307305: 0.2607
  Query 2309774: 0.3958
  Query 23464: 0.2749
  Query 2380990: 0.1728
  Query 2382487: 0.2092
  Query 2418598: 0.4787
  Query 2443586: 0.4974
  Query 2446614: 0.1605
  Query 2452795: 0.4670
  Query 2479423: 0.4031
  Query 2484180: 0.4985
  Query 2528767: 0.1096
  Query 2529114: 0.1696
  Query 2539741: 0.3836
  Query 2551845: 0.4474
  Query 2582920: 0.4796
  Query 2592121: 0.1696
  Query 2619912: 0.1800
  Query 2634143: 0.1266
  Query 2643507: 0.0000
  Query 2713171: 0.1563
  Query 2722241: 0.2588
  Query 2783398: 0.0000
  Query 2785579: 0.0000
  Query 2795030: 0.1553
  Query 2797224: 0.2034
  Query 2799913: 0.2999
  Query 2814599: 0.1344
  Query 2814722: 0.5198
  Query 2815090: 0.2998
  Query 2838988: 0.2184
  Query 2847807: 0.4913
  Query 2862887: 0.4837
  Query 2864267: 0.0730
  Query 2892478: 0.0000
  Query 2956570: 0.1178
  Query 2976644: 0.1351
  Query 3040435: 0.0000
  Query 3074429: 0.2188
  Query 3078448: 0.2544
  Query 312215: 0.0000
  Query 3155314: 0.5087
  Query 3206998: 0.5221
  Query 3239329: 0.3825
  Query 3269759: 0.3825
  Query 3278654: 0.4344
  Query 3280768: 0.1160
  Query 3295055: 0.5119
  Query 3301173: 0.4350
  Query 3313308: 0.2821
  Query 3363149: 0.0000
  Query 3369088: 0.2352
  Query 3382736: 0.4785
  Query 3385681: 0.2112
  Query 3389038: 0.3804
  Query 3396066: 0.1753
  Query 34041: 0.0000
  Query 3411123: 0.1013
  Query 3496147: 0.0000
  Query 3499881: 0.4407
  Query 3507491: 0.0000
  Query 354733: 0.2357
  Query 3552010: 0.1282
  Query 3554263: 0.4660
  Query 3559048: 0.4506
  Query 3577501: 0.0705
  Query 3639660: 0.5336
  Query 3640705: 0.2049
  Query 3698636: 0.1386
  Query 3714728: 0.4740
  Query 3723508: 0.3028
  Query 3778229: 0.3276
